,Raft,Nutrients,Mixing,Spores,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,UninfEggRatio,InfEggRatio,EdChl,TotChl,TP,TN,SizeUninf,SESizeUninf,SizeInf,SESizeInf,C,N,P,CN,CP,NP,Light,SRP,ad320,InfDensity,UninfDensity,TotalDensity,PropJuv,PrevTotal,PrevAdult,InfCount,UninfCount,AdultCount,TotalCount,Trt,LogTotDens,LogUninfDens,LogInfDens,LogTotChl,LogEdChl,InedChl,LogInedChl,PropInedChl,LogTP,LogTN,LogC,LogN,LogP
13,2,High,No,Spores,13,1,1,21,52,0,0,0,0,0,1.285714286,NA,2.77,3.52,7.971374252,421.36,NA,NA,NA,NA,293.1629834,38.28729282,2.785354777,8.929393882,271.4277434,30.39710723,NA,NA,NA,75.3396180316664,5499.79211631165,5499.79211631165,0.712328767123288,0,0,0,73,21,73,High No Spores,8.61246557347199,8.61246557347199,4.3220061323236,1.25846098961001,1.01884732019925,0.75,-0.287682072451781,0.213068181818182,2.0758569060435,6.04348757517513,5.68072871170119,3.64511806097873,1.02437525377589
15,2,High,Mix,No,15,1,1,44,57,0,0,0,0,1,1.136363636,NA,2.37,3.38,7.998074135,358.735,NA,NA,NA,NA,329.2699725,36.69421488,2.597422879,10.4645856,326.9151816,31.24014595,NA,NA,NA,75.3396180316664,7609.30142119831,7609.30142119831,0.564356435643564,0,0,0,101,44,101,High Mix No,8.93712664916486,8.93712664916486,4.3220061323236,1.21787570949493,0.86288995514704,1.01,0.00995033085316787,0.298816568047337,2.07920077957397,5.882583954353,5.79687799937587,3.60261910993764,0.954519753078867
16,2,Low,Mix,Spores,16,1,1,57,71,0,0,0,0,0,0.736842105,NA,3.1,4.54,8.456965367,358.735,NA,NA,NA,NA,349.3250689,35.23415978,2.832337752,11.56201002,318.0609383,27.50913879,NA,NA,NA,75.3396180316664,9643.4711080533,9643.4711080533,0.5546875,0,0,0,128,57,128,Low Mix Spores,9.17403639624322,9.17403639624322,4.3220061323236,1.51292701205326,1.1314021114911,1.44,0.364643113587909,0.317180616740088,2.13499040560428,5.882583954353,5.85600291820402,3.56201606031898,1.04110243143211
17,3,Low,No,No,17,1,1,16,41,0,0,0,0,0,0.9375,NA,2.54,3.26,8.068672786,421.36,NA,NA,NA,NA,461.4972527,32.66483516,2.789270025,16.47616591,426.6818641,25.89691476,NA,NA,NA,75.3396180316664,4294.35822780499,4294.35822780499,0.719298245614035,0,0,0,57,16,57,Low No No,8.36505740015815,8.36505740015815,4.3220061323236,1.18172719537862,0.932164081030445,0.72,-0.328504066972036,0.220858895705521,2.08798900605502,6.04348757517513,6.13447610094577,3.48629912190006,1.02577992181467
18,3,High,No,Spores,18,1,1,16,37,0,0,0,0,0,0.6875,NA,3.34,4.72,9.004104913,421.36,NA,NA,NA,NA,281.8119891,27.52043597,3.304125122,11.94185142,219.9523487,18.41861375,NA,NA,NA,75.3396180316664,3992.99975567832,3992.99975567832,0.69811320754717,0,0,0,53,16,53,High No Spores,8.29229804587572,8.29229804587572,4.3220061323236,1.55180879959746,1.20597080698861,1.38,0.322083499169113,0.292372881355932,2.19768057479802,6.04348757517513,5.64124014327214,3.3149288548728,1.19517172479641
19,3,Low,Mix,No,19,1,1,24,41,0,0,0,0,1,0.833333333,NA,2.49,3.54,8.086322449,546.61,NA,NA,NA,NA,425.2016129,34.38172043,2.867574983,14.42230933,382.389311,26.51373661,NA,NA,NA,75.3396180316664,4897.07517205832,4897.07517205832,0.630769230769231,0,0,0,65,24,65,Low Mix No,8.49639340221924,8.49639340221924,4.3220061323236,1.26412672714568,0.912282710476616,1.05,0.0487901641694318,0.296610169491525,2.09017404786599,6.30373556824063,6.05256343973435,3.53752504029661,1.05346671893844
22,3,High,No,No,22,1,1,12,26,0,0,0,0,0,1.166666667,NA,2.74,2.56,7.945125146,432.6763,NA,NA,NA,NA,293.1717452,27.97783934,2.673770213,12.22011936,282.7636995,23.13919293,NA,NA,NA,75.3396180316664,2862.90548520332,2862.90548520332,0.684210526315789,0,0,0,38,12,38,High No No,7.95959229204999,7.95959229204999,4.3220061323236,0.940007258491471,1.00795792039998,0.04,-3.2188758248682,0.015625,2.07255855140648,6.06998987337118,5.68075859838391,3.33141274466875,0.9834895411802
23,3,Low,Mix,Spores,23,1,1,7,30,0,0,0,0,0,0.714285714,NA,2.49,3.39,8.47461503,421.36,NA,NA,NA,NA,284.7285714,27.85714286,2.822549632,11.91960834,260.1447617,21.82494209,NA,NA,NA,75.3396180316664,2787.56586717166,2787.56586717166,0.810810810810811,0,0,0,37,7,37,Low Mix Spores,7.93292404496782,7.93292404496782,4.3220061323236,1.22082992139236,0.912282710476616,0.9,-0.105360515657826,0.265486725663717,2.13707522804601,6.04348757517513,5.65153634541303,3.327089409611,1.03764060129806
24,3,High,Mix,No,24,1,1,4,11,0,0,0,0,0,0,NA,2.99,4.28,9.780690075,358.735,NA,NA,NA,NA,285.028169,31.49295775,2.865617359,10.55460148,256.5046291,24.30263516,NA,NA,NA,75.3396180316664,1130.094270475,1130.094270475,0.733333333333333,0,0,0,15,4,15,High Mix No,7.03005633342581,7.03005633342581,4.3220061323236,1.45395300959371,1.0952733874026,1.29,0.254642218373581,0.301401869158879,2.28041004137345,5.882583954353,5.65258801398093,3.44976395734548,1.05278381002511
25,4,Low,No,Spores,25,1,1,10,25,0,0,0,0,0,0.3,NA,2.69,4.37,7.821577507,421.36,NA,NA,NA,NA,318.8842975,32.75482094,2.832337752,11.35338623,290.3445756,25.57339016,NA,NA,NA,75.3396180316664,2636.88663110832,2636.88663110832,0.714285714285714,0,0,0,35,10,35,Low No Spores,7.87735419381301,7.87735419381301,4.3220061323236,1.4747630091075,0.989541193613748,1.68,0.518793793415168,0.384439359267735,2.05688626145087,6.04348757517513,5.76482833323017,3.48905015552258,1.04110243143211
26,4,High,No,No,26,1,1,11,32,0,0,0,0,0,1,NA,3.53,5.07,7.874526495,358.735,NA,NA,NA,NA,281.6051136,26.67613636,3.785700612,12.31076711,191.8314878,15.58241546,NA,NA,NA,75.3396180316664,3239.60357536166,3239.60357536166,0.744186046511628,0,0,0,43,11,43,High No No,8.08320624801716,8.08320624801716,4.3220061323236,1.62334081760309,1.26129787094521,1.54,0.431782416425538,0.303747534516765,2.06363305528491,5.882583954353,5.64050578320992,3.2837693964679,1.33123097200581
27,4,Low,Mix,No,27,1,1,4,25,0,0,0,0,0,0.5,NA,3.33,4.75,10.38077861,438.63,NA,NA,NA,NA,406.3019391,30.47091413,2.699219324,15.55001883,388.1828498,24.9634971,NA,NA,NA,75.3396180316664,2184.84892291833,2184.84892291833,0.862068965517241,0,0,0,29,4,29,Low Mix No,7.68930196231007,7.68930196231007,4.3220061323236,1.55814461804655,1.20297230399235,1.42,0.350656871613169,0.298947368421053,2.33995588552189,6.08365623309746,6.00709657556413,3.41677259353217,0.992962591942209
28,4,High,Mix,Spores,28,1,1,8,22,0,0,0,0,1,0.375,NA,3.25,5.02,7.556832566,367.1856,NA,NA,NA,NA,260.3108108,28.75675676,2.824507256,10.55649651,237.67042,22.51413807,NA,NA,NA,75.3396180316664,2260.18854094999,2260.18854094999,0.733333333333333,0,0,0,30,8,30,High Mix Spores,7.72320351398576,7.72320351398576,4.3220061323236,1.61342993370364,1.17865499634165,1.77,0.570979546585738,0.352589641434263,2.02245212964651,5.90586744229111,5.56187634321646,3.35887275737015,1.03833392673014
29,4,Low,No,No,29,1,1,7,27,0,0,0,0,1,1,NA,3.48,5.39,8.951155924,421.36,NA,NA,NA,NA,328.5027473,30.21978022,3.415709687,12.67696268,248.0182724,19.56448706,NA,NA,NA,75.3396180316664,2561.54701307666,2561.54701307666,0.794117647058823,0,0,0,34,7,34,Low No No,7.84836665693976,7.84836665693976,4.3220061323236,1.68454538492091,1.24703229378638,1.91,0.647103242058538,0.354359925788497,2.19178267746672,6.04348757517513,5.7945452010556,3.40849668415104,1.22838528607357
30,4,Low,Mix,Spores,30,1,1,9,24,0,0,0,0,0,1.666666667,NA,6.37,9.75,10.96321748,414.8152,NA,NA,NA,NA,418.8666667,49.84,3.020269651,9.800884574,357.6479216,36.49139207,NA,NA,NA,75.3396180316664,2486.20739504499,2486.20739504499,0.727272727272727,0,0,0,33,9,33,Low Mix Spores,7.81851369379008,7.81851369379008,4.3220061323236,2.27726728500976,1.85159946958407,3.38,1.21787570949493,0.346666666666667,2.39454580413132,6.02783311984985,6.03755265138032,3.9088178744792,1.1053461158114
31,4,High,No,Spores,31,1,1,16,18,0,0,0,0,0,0.9375,NA,5.37,8.23,11.59860534,444.5837,NA,NA,NA,NA,424.6186441,52.79661017,4.576580685,9.379086199,239.2674159,25.51073856,NA,NA,NA,75.3396180316664,2561.54701307666,2561.54701307666,0.529411764705882,0,0,0,34,16,34,High No Spores,7.84836665693976,7.84836665693976,4.3220061323236,2.10778601468898,1.68082790852077,2.86,1.05082162483176,0.347509113001215,2.45088486157385,6.09713833868978,6.0511914581026,3.96644698732546,1.52095214397244
32,4,High,Mix,No,32,1,1,6,15,0,0,0,0,0,1,NA,3.5,4.13,7.945125146,483.985,NA,NA,NA,NA,262.7134986,32.75482094,2.599754088,9.3535111,260.6007983,27.86128071,NA,NA,NA,75.3396180316664,1582.13197866499,1582.13197866499,0.714285714285714,0,0,0,21,6,21,High Mix No,7.36652857004702,7.36652857004702,4.3220061323236,1.41827740697294,1.25276296849537,0.63,-0.462035459596559,0.152542372881356,2.07255855140648,6.18205391450084,5.57106407945969,3.48905015552258,0.955416859015859
33,1,Low,Mix,Spores,1,3,2,126,122,0,0,0,0,0,1.785714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,18684.2252718533,18684.2252718533,0.491935483870968,0,0,0,248,126,248,Low Mix Spores,9.83543487848858,9.83543487848858,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,High,Mix,No,2,3,2,124,222,0,0,0,0,1,0.919354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,26067.5078389566,26067.5078389566,0.641618497109827,0,0,0,346,124,346,High Mix No,10.1684449073813,10.1684449073813,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,High,No,No,4,3,2,121,154,0,0,0,0,0,1.181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,20718.3949587083,20718.3949587083,0.56,0,0,0,275,121,275,High No No,9.93877722999017,9.93877722999017,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,Low,Mix,No,5,3,2,95,86,1,0,0,0,0,1.547368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,13711.8104817633,13711.8104817633,0.472527472527473,0,0,0,182,95,182,Low Mix No,9.52601281940039,9.52601281940039,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,High,Mix,Spores,6,3,2,105,155,0,0,0,0,0,1.276190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,19588.3006882333,19588.3006882333,0.596153846153846,0,0,0,260,105,260,High Mix Spores,9.88268776333913,9.88268776333913,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,Low,No,No,7,3,2,58,144,0,0,0,0,0,1.75862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,15218.6028423966,15218.6028423966,0.712871287128713,0,0,0,202,58,202,Low No No,9.63027382972481,9.63027382972481,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,High,No,Spores,8,3,2,29,89,0,0,0,0,0,1.655172414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,8890.07492773664,8890.07492773664,0.754237288135593,0,0,0,118,29,118,High No Spores,9.09269075678927,9.09269075678927,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2,Low,No,Spores,10,3,2,30,85,0,0,0,0,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,8664.05607364164,8664.05607364164,0.739130434782609,0,0,0,115,30,115,Low No Spores,9.06693826068685,9.06693826068685,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2,High,Mix,Spores,11,3,2,106,107,0,0,0,0,1,1.358490566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,16047.3386407449,16047.3386407449,0.502347417840376,0,0,0,213,106,213,High Mix Spores,9.68329829803302,9.68329829803302,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2,Low,Mix,No,12,3,2,107,158,0,0,0,0,2,1.514018692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,19964.9987783916,19964.9987783916,0.59622641509434,0,0,0,265,107,265,Low Mix No,9.90173595830982,9.90173595830982,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2,High,No,Spores,13,3,2,61,118,0,0,0,0,1,1.639344262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,13485.7916276683,13485.7916276683,0.659217877094972,0,0,0,179,61,179,High No Spores,9.50939193816435,9.50939193816435,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2,High,Mix,No,15,3,2,59,96,0,0,0,0,1,2.203389831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,11677.6407949083,11677.6407949083,0.619354838709677,0,0,0,155,59,155,High Mix No,9.36543124924285,9.36543124924285,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2,Low,Mix,Spores,16,3,2,24,58,0,0,0,0,0,1.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,6177.84867859665,6177.84867859665,0.707317073170732,0,0,0,82,24,82,Low Mix Spores,8.72872537958785,8.72872537958785,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,3,Low,No,No,17,3,2,52,97,0,0,0,0,0,1.538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,11225.6030867183,11225.6030867183,0.651006711409396,0,0,0,149,52,149,Low No No,9.32595243826906,9.32595243826906,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3,High,No,Spores,18,3,2,71,96,0,0,0,0,0,1.85915493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,12581.7162112883,12581.7162112883,0.574850299401198,0,0,0,167,71,167,High No Spores,9.43999994474036,9.43999994474036,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,3,Low,Mix,No,19,3,2,60,69,0,0,0,0,1,1.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,9718.81072608497,9718.81072608497,0.534883720930233,0,0,0,129,60,129,Low Mix No,9.18181853668527,9.18181853668527,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,3,High,No,No,22,3,2,57,96,0,0,0,0,0,2.175438596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,11526.961558845,11526.961558845,0.627450980392157,0,0,0,153,57,153,High No No,9.35244405371603,9.35244405371603,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,3,Low,Mix,Spores,23,3,2,54,60,0,0,0,0,0,1.425925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,8588.71645560997,8588.71645560997,0.526315789473684,0,0,0,114,54,114,Low Mix Spores,9.0582045807181,9.0582045807181,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,3,High,Mix,No,24,3,2,11,32,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,3239.60357536166,3239.60357536166,0.744186046511628,0,0,0,43,11,43,High Mix No,8.08320624801716,8.08320624801716,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,4,Low,No,Spores,25,3,2,19,60,0,0,0,0,0,0.684210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,5951.82982450165,5951.82982450165,0.759493670886076,0,0,0,79,19,79,Low No Spores,8.69145398479062,8.69145398479062,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,4,High,No,No,26,3,2,20,58,0,0,0,0,0,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,5876.49020646998,5876.49020646998,0.743589743589744,0,0,0,78,20,78,High No No,8.67871495901319,8.67871495901319,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,4,Low,Mix,No,27,3,2,25,43,0,0,0,0,0,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,5123.09402615332,5123.09402615332,0.632352941176471,0,0,0,68,25,68,Low Mix No,8.54151383749971,8.54151383749971,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,4,High,Mix,Spores,28,3,2,22,63,0,0,0,0,0,1.818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,6403.86753269165,6403.86753269165,0.741176470588235,0,0,0,85,22,85,High Mix Spores,8.76465738881392,8.76465738881392,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,4,Low,No,No,29,3,2,23,37,0,0,0,0,0,2.434782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,4520.37708189999,4520.37708189999,0.616666666666667,0,0,0,60,23,60,Low No No,8.4163506945457,8.4163506945457,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,4,Low,Mix,Spores,30,3,2,27,44,0,0,0,0,1,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,5349.11288024832,5349.11288024832,0.619718309859155,0,0,0,71,27,71,Low Mix Spores,8.58468600936492,8.58468600936492,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,4,High,No,Spores,31,3,2,42,41,0,0,0,0,0,1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,6253.18829662831,6253.18829662831,0.493975903614458,0,0,0,83,42,83,High No Spores,8.7408467401202,8.7408467401202,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,4,High,Mix,No,32,3,2,23,59,0,0,0,0,1,1.347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,6177.84867859665,6177.84867859665,0.719512195121951,0,0,0,82,23,82,High Mix No,8.72872537958785,8.72872537958785,4.3220061323236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,Low,Mix,Spores,1,5,3,94,228,0,0,0,0,0,0.840425532,NA,1.89,2.64,4.334130677,563.6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,24259.3570061966,24259.3570061966,0.708074534161491,0,0,0,322,94,322,Low Mix Spores,10.096557677868,10.096557677868,4.3220061323236,0.970778917158225,0.636576829071551,0.75,-0.287682072451781,0.284090909090909,1.46652105425168,6.33444715235705,NA,NA,NA
66,1,High,Mix,No,2,5,3,54,114,0,0,0,0,1,1.259259259,NA,2.03,2.81,5.80770221,486.2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,12657.05582932,12657.05582932,0.678571428571429,0,0,0,168,54,168,High Mix No,9.44597011172686,9.44597011172686,4.3220061323236,1.03318448334565,0.708035793053696,0.78,-0.248461359298499,0.277580071174377,1.7591850038251,6.18674263766836,NA,NA,NA
68,1,High,No,No,4,5,3,66,122,0,0,0,0,0,1.348484848,NA,2.13,3.16,9.082305617,553.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,14163.8481899533,14163.8481899533,0.648936170212766,0,0,0,188,66,188,High No No,9.55844809515355,9.55844809515355,4.3220061323236,1.15057202759882,0.756121979721334,1.03,0.0295588022415446,0.325949367088608,2.20632808295741,6.3153601715019,NA,NA,NA
69,1,Low,Mix,No,5,5,3,85,175,0,0,0,0,0,1.552941176,NA,3.19,4.78,10.26480129,486.2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,19588.3006882333,19588.3006882333,0.673076923076923,0,0,0,260,85,260,Low Mix No,9.88268776333913,9.88268776333913,4.3220061323236,1.56444054650336,1.16002091679675,1.59,0.46373401623214,0.332635983263598,2.32872069227086,6.18674263766836,NA,NA,NA
